1,CHINA,"1,384,688,986",July 2018 est.
2,INDIA,"1,296,834,042",July 2018 est.
3,UNITED STATES,"329,256,465",July 2018 est.
4,INDONESIA,"262,787,403",July 2018 est.
5,BRAZIL,"208,846,892",July 2018 est.
6,PAKISTAN,"207,862,518",July 2018 est.
7,NIGERIA,"203,452,505",July 2018 est.
8,BANGLADESH,"159,453,001",July 2018 est.
9,RUSSIA,"142,122,776",July 2018 est.
10,JAPAN,"126,168,156",July 2018 est.
11,MEXICO,"125,959,205",July 2018 est.
12,ETHIOPIA,"108,386,391",July 2018 est.
13,PHILIPPINES,"105,893,381",July 2018 est.
14,EGYPT,"99,413,317",July 2018 est.
15,VIETNAM,"97,040,334",July 2018 est.
16,"CONGO, DEMOCRATIC REPUBLIC OF THE","85,281,024",July 2018 est.
17,IRAN,"83,024,745",July 2018 est.
18,TURKEY,"81,257,239",July 2018 est.
19,GERMANY,"80,457,737",July 2018 est.
20,THAILAND,"68,615,858",July 2018 est.
21,FRANCE,"67,364,357",July 2018 est.
22,UNITED KINGDOM,"65,105,246",July 2018 est.
23,ITALY,"62,246,674",July 2018 est.
24,BURMA,"55,622,506",July 2018 est.
25,TANZANIA,"55,451,343",July 2018 est.
26,SOUTH AFRICA,"55,380,210",July 2018 est.
27,"KOREA, SOUTH","51,418,097",July 2018 est.
28,SPAIN,"49,331,076",July 2018 est.
29,KENYA,"48,397,527",July 2018 est.
30,COLOMBIA,"48,168,996",July 2018 est.
31,ARGENTINA,"44,694,198",July 2018 est.
32,UKRAINE,"43,952,299",July 2018 est.
33,SUDAN,"43,120,843",July 2018 est.
34,ALGERIA,"41,657,488",July 2018 est.
35,UGANDA,"40,853,749",July 2018 est.
36,IRAQ,"40,194,216",July 2018 est.
37,POLAND,"38,420,687",July 2018 est.
38,CANADA,"35,881,659",July 2018 est.
39,AFGHANISTAN,"34,940,837",July 2018 est.
40,MOROCCO,"34,314,130",July 2018 est.
41,SAUDI ARABIA,"33,091,113",July 2018 est.
42,MALAYSIA,"31,809,660",July 2018 est.
43,VENEZUELA,"31,689,176",July 2018 est.
44,PERU,"31,331,228",July 2018 est.
45,ANGOLA,"30,355,880",July 2018 est.
46,UZBEKISTAN,"30,023,709",July 2018 est.
47,NEPAL,"29,717,587",July 2018 est.
48,YEMEN,"28,667,230",July 2018 est.
49,GHANA,"28,102,471",July 2018 est.
50,MOZAMBIQUE,"27,233,789",July 2018 est.
51,COTE D'IVOIRE,"26,260,582",July 2018 est.
52,MADAGASCAR,"25,683,610",July 2018 est.
53,CAMEROON,"25,640,965",July 2018 est.
54,"KOREA, NORTH","25,381,085",July 2018 est.
55,TAIWAN,"23,545,963",July 2018 est.
56,AUSTRALIA,"23,470,145",July 2018 est.
57,SRI LANKA,"22,576,592",July 2018 est.
58,ROMANIA,"21,457,116",July 2018 est.
59,NIGER,"19,866,231",July 2018 est.
60,MALAWI,"19,842,560",July 2018 est.
61,BURKINA FASO,"19,742,715",July 2018 est.
62,SYRIA,"19,454,263",July 2018 est.
63,KAZAKHSTAN,"18,744,548",July 2018 est.
64,MALI,"18,429,893",July 2018 est.
65,CHILE,"17,925,262",July 2018 est.
66,NETHERLANDS,"17,151,228",July 2018 est.
67,GUATEMALA,"16,581,273",July 2018 est.
68,ECUADOR,"16,498,502",July 2018 est.
69,CAMBODIA,"16,449,519",July 2018 est.
70,ZAMBIA,"16,445,079",July 2018 est.
71,CHAD,"15,833,116",July 2018 est.
72,SENEGAL,"15,020,945",July 2018 est.
73,ZIMBABWE,"14,030,368",July 2018 est.
74,RWANDA,"12,187,400",July 2018 est.
75,GUINEA,"11,855,411",July 2018 est.
76,BURUNDI,"11,844,520",July 2018 est.
77,BELGIUM,"11,570,762",July 2018 est.
78,TUNISIA,"11,516,189",July 2018 est.
79,BENIN,"11,340,504",July 2018 est.
80,BOLIVIA,"11,306,341",July 2018 est.
81,SOMALIA,"11,259,029",July 2018 est.
82,CUBA,"11,116,396",July 2018 est.
83,HAITI,"10,788,440",July 2018 est.
84,GREECE,"10,761,523",July 2018 est.
85,CZECHIA,"10,686,269",July 2018 est.
86,JORDAN,"10,458,413",July 2018 est.
87,PORTUGAL,"10,355,493",July 2018 est.
88,DOMINICAN REPUBLIC,"10,298,756",July 2018 est.
89,SOUTH SUDAN,"10,204,581",July 2018 est.
90,AZERBAIJAN,"10,046,516",July 2018 est.
91,SWEDEN,"10,040,995",July 2018 est.
92,HUNGARY,"9,825,704",July 2018 est.
93,UNITED ARAB EMIRATES,"9,701,315",July 2018 est.
94,BELARUS,"9,527,543",July 2018 est.
95,HONDURAS,"9,182,766",July 2018 est.
96,AUSTRIA,"8,793,370",July 2018 est.
97,TAJIKISTAN,"8,604,882",July 2018 est.
98,ISRAEL,"8,424,904",July 2018 est.
99,SWITZERLAND,"8,292,809",July 2018 est.
100,TOGO,"8,176,449",July 2018 est.
101,LAOS,"7,234,171",July 2018 est.
102,HONG KONG,"7,213,338",July 2018 est.
103,SERBIA,"7,078,110",July 2018 est.
104,BULGARIA,"7,057,504",July 2018 est.
105,PAPUA NEW GUINEA,"7,027,332",July 2018 est.
106,PARAGUAY,"7,025,763",July 2018 est.
107,LIBYA,"6,754,507",July 2018 est.
108,SIERRA LEONE,"6,312,212",July 2018 est.
109,EL SALVADOR,"6,187,271",July 2018 est.
110,LEBANON,"6,100,075",July 2018 est.
111,NICARAGUA,"6,085,213",July 2018 est.
112,SINGAPORE,"5,995,991",July 2018 est.
113,ERITREA,"5,970,646",July 2018 est.
114,KYRGYZSTAN,"5,849,296",July 2018 est.
115,DENMARK,"5,809,502",July 2018 est.
116,CENTRAL AFRICAN REPUBLIC,"5,745,062",July 2018 est.
117,FINLAND,"5,537,364",July 2018 est.
118,SLOVAKIA,"5,445,040",July 2018 est.
119,TURKMENISTAN,"5,411,012",July 2018 est.
120,NORWAY,"5,372,191",July 2018 est.
121,IRELAND,"5,068,050",July 2018 est.
122,"CONGO, REPUBLIC OF THE","5,062,021",July 2018 est.
123,COSTA RICA,"4,987,142",July 2018 est.
124,GEORGIA,"4,926,087",July 2018 est.
125,LIBERIA,"4,809,768",July 2018 est.
126,OMAN,"4,613,241",July 2017 est. est.
127,NEW ZEALAND,"4,545,627",July 2018 est.
128,CROATIA,"4,270,480",July 2018 est.
129,BOSNIA AND HERZEGOVINA,"3,849,891",July 2018 est.
130,MAURITANIA,"3,840,429",July 2018 est.
131,PANAMA,"3,800,644",July 2018 est.
132,MOLDOVA,"3,437,720",July 2018 est.
133,URUGUAY,"3,369,299",July 2018 est.
134,PUERTO RICO,"3,294,626",July 2018 est.
135,MONGOLIA,"3,103,428",July 2018 est.
136,ALBANIA,"3,057,220",July 2018 est.
137,ARMENIA,"3,038,217",July 2018 est.
138,KUWAIT,"2,916,467",July 2018 est.
139,JAMAICA,"2,812,090",July 2018 est.
140,WEST BANK,"2,798,494",July 2018 est.
141,LITHUANIA,"2,793,284",July 2018 est.
142,NAMIBIA,"2,533,224",July 2018 est.
143,QATAR,"2,363,569",July 2018 est.
144,BOTSWANA,"2,249,104",July 2018 est.
145,GABON,"2,119,036",July 2018 est.
146,MACEDONIA,"2,118,945",July 2018 est.
147,SLOVENIA,"2,102,126",July 2018 est.
148,"GAMBIA, THE","2,092,731",July 2018 est.
149,LESOTHO,"1,962,461",July 2018 est.
150,LATVIA,"1,923,559",July 2018 est.
151,KOSOVO,"1,907,592",July 2018 est.
152,GAZA STRIP,"1,836,713",July 2018 est.
153,GUINEA-BISSAU,"1,833,247",July 2018 est.
154,BAHRAIN,"1,442,659",July 2018 est.
155,MAURITIUS,"1,364,283",July 2018 est.
156,TIMOR-LESTE,"1,321,929",July 2018 est.
157,ESTONIA,"1,244,288",July 2018 est.
158,CYPRUS,"1,237,088",July 2018 est.
159,TRINIDAD AND TOBAGO,"1,215,527",July 2018 est.
160,ESWATINI,"1,087,200",July 2018 est.
161,FIJI,"926,276",July 2018 est.
162,DJIBOUTI,"884,017",July 2018 est.
163,COMOROS,"821,164",July 2018 est.
164,EQUATORIAL GUINEA,"797,457",July 2018 est.
165,BHUTAN,"766,397",July 2018 est.
166,GUYANA,"740,685",July 2018 est.
167,SOLOMON ISLANDS,"660,121",July 2018 est.
168,WESTERN SAHARA,"619,551",July 2018 est.
169,MONTENEGRO,"614,249",July 2018 est.
170,MACAU,"606,340",July 2018 est.
171,LUXEMBOURG,"605,764",July 2018 est.
172,SURINAME,"597,927",July 2018 est.
173,CABO VERDE,"568,373",July 2018 est.
174,BRUNEI,"450,565",July 2018 est.
175,MALTA,"449,043",July 2018 est.
176,MALDIVES,"392,473",July 2018 est.
177,BELIZE,"385,854",July 2018 est.
178,ICELAND,"343,518",July 2018 est.
179,"BAHAMAS, THE","332,634",July 2018 est.
180,BARBADOS,"293,131",July 2018 est.
181,FRENCH POLYNESIA,"290,373",July 2018 est.
182,VANUATU,"288,037",July 2018 est.
183,NEW CALEDONIA,"282,754",July 2018 est.
184,SAO TOME AND PRINCIPE,"204,454",July 2018 est.
185,SAMOA,"201,316",July 2018 est.
186,GUAM,"167,772",July 2018 est.
187,SAINT LUCIA,"165,510",July 2018 est.
188,CURACAO,"150,241",July 2018 est.
189,ARUBA,"116,576",July 2018 est.
190,GRENADA,"112,207",July 2018 est.
191,KIRIBATI,"109,367",July 2018 est.
192,VIRGIN ISLANDS,"106,977",July 2018 est.
193,TONGA,"106,398",July 2018 est.
194,"MICRONESIA, FEDERATED STATES OF","103,643",July 2018 est.
195,SAINT VINCENT AND THE GRENADINES,"101,844",July 2018 est.
196,JERSEY,"99,602",July 2018 est.
197,ANTIGUA AND BARBUDA,"95,882",July 2018 est.
198,SEYCHELLES,"94,633",July 2018 est.
199,ISLE OF MAN,"89,407",July 2018 est.
200,ANDORRA,"85,708",July 2018 est.
201,MARSHALL ISLANDS,"75,684",July 2018 est.
202,DOMINICA,"74,027",July 2018 est.
203,BERMUDA,"71,176",July 2018 est.
204,GUERNSEY,"66,697",July 2018 est.
205,CAYMAN ISLANDS,"59,613",July 2018 est.
206,GREENLAND,"57,691",July 2018 est.
207,TURKS AND CAICOS ISLANDS,"53,701",July 2018 est.
208,SAINT KITTS AND NEVIS,"53,094",July 2018 est.
209,NORTHERN MARIANA ISLANDS,"51,994",July 2018 est.
210,FAROE ISLANDS,"51,018",July 2018 est.
211,AMERICAN SAMOA,"50,826",July 2018 est.
212,SINT MAARTEN,"42,677",July 2018 est.
213,LIECHTENSTEIN,"38,547",July 2018 est.
214,BRITISH VIRGIN ISLANDS,"35,802",July 2018 est.
215,SAN MARINO,"33,779",July 2018 est.
216,SAINT MARTIN,"32,284",July 2018 est.
217,MONACO,"30,727",July 2018 est.
218,GIBRALTAR,"29,461",July 2018 est.
219,PALAU,"21,516",July 2018 est.
220,ANGUILLA,"17,422",July 2018 est.
221,WALLIS AND FUTUNA,"15,763",July 2018 est.
222,TUVALU,"11,147",July 2018 est.
223,NAURU,"9,692",July 2018 est.
224,COOK ISLANDS,"9,038",July 2018 est.
225,"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA","7,841",July 2018 est.
226,SAINT BARTHELEMY,"7,160",July 2018 est.
227,SAINT PIERRE AND MIQUELON,"5,471",July 2018 est.
228,MONTSERRAT,"5,315",July 2018 est.
229,FALKLAND ISLANDS (ISLAS MALVINAS),"3,198",2016 est.
230,SVALBARD,"2,583",July 2017 est.
231,CHRISTMAS ISLAND,"2,205",July 2016 est.
232,NORFOLK ISLAND,"1,748",2016 est.
233,NIUE,"1,618",
234,PARACEL ISLANDS,"1,440",2014 est.
235,TOKELAU,"1,285",2016 est.
236,HOLY SEE (VATICAN CITY),"1,000",2017 est.
237,COCOS (KEELING) ISLANDS,596,July 2014 est.
238,PITCAIRN ISLANDS,54,July 2016 est.